País,Categoría,Nombre,Og_Resumida
Polonia,Convocatoria,Faust/Vizual – Graphic Competition 2025,"Dirigida a jóvenes artistas, estudiantes y egresados de carreras de arte y diseño menores de 30 años de cualquier nacionalidad, la Faust/Vizual – Graphic Competition 2025 convoca a presentar hasta tres obras por participante en formato de cartel gráfico, animación o propuestas visuales experimentales inspiradas en el clásico “Fausto” de Goethe; la inscripción es gratuita y no requiere pago. La disciplina principal es el arte gráfico, incluyendo animación y nuevos medios visuales, y el premio para el ganador es de 10,000 PLN más la exhibición de la obra seleccionada. La oportunidad es internacional y está abierta a artistas de Latinoamérica."
Reino Unido,Convocatoria,Playground for Remaking Worlds,"Playground for Remaking Worlds está dirigida a artistas, performers y diseñadores de moda de cualquier nacionalidad, invitando propuestas para intervenciones urbanas, talleres participativos y desfiles especulativos que exploren futuros posibles, en homenaje al pensamiento radical de David Graeber; la convocatoria no menciona ningún pago de inscripción ni estipula honorarios, premios o apoyos económicos para los seleccionados, quienes recibirán visibilidad, oportunidades de colaboración y networking en el evento en Londres; no hay restricciones geográficas, por lo que pueden postular artistas de Latinoamérica, pero es importante notar que no se ofrece apoyo financiero para viaje, producción ni estancia."
Reino Unido,Convocatoria,Open Call | Unveiled: Stories Behind The Silence | Firepit Art Gallery,"La convocatoria Open Call | Unveiled: Stories Behind The Silence | Firepit Art Gallery está dirigida a artistas visuales contemporáneos de cualquier origen que trabajen en medios como pintura, escultura, instalación, fotografía, videoarte y arte digital, interesados en explorar temas de silencio, historias no contadas y narrativas invisibles. No se especifica un pago de inscripción para participar en la oportunidad, ni se detallan montos de compensación económica, premios o apoyos para los artistas seleccionados. Tampoco se menciona restricción geográfica, por lo que la convocatoria está abierta a artistas de Latinoamérica. No se encontró información sobre bases completas o detalles adicionales respecto a honorarios o apoyos económicos."
Francia,Convocatoria,KADIST Paris Curatorial Fellowship,"La KADIST Paris Curatorial Fellowship está dirigida a curadores, críticos, escritores, directores artísticos, investigadores y profesionales culturales de cualquier nacionalidad, que sean fluentes en francés e inglés y tengan experiencia interdisciplinaria; no requiere pago de inscripción. La oportunidad abarca disciplinas relacionadas con la curaduría, la investigación artística y la producción cultural, promoviendo cruces entre cine, literatura, danza, filosofía y activismo. El programa, de 18 meses a tiempo parcial desde 2026, otorga un estipendio total de €30,000, alojamiento en París y un presupuesto anual de hasta €15,000 para eventos públicos y €25,000 por exposición. La convocatoria está abierta a postulantes latinoamericanos siempre que cumplan los requisitos de idioma y perfil profesional."
EEUU,Beca,The Guggenheim Fellowship,"La Guggenheim Fellowship está dirigida a artistas, académicos y creadores de cualquier disciplina de las artes, las ciencias sociales, las ciencias naturales y las humanidades, que sean ciudadanos o residentes permanentes de Estados Unidos o Canadá y que cuenten con una trayectoria consolidada y logros notables en su campo; no está abierta a estudiantes ni a personas fuera de estos países, por lo que artistas latinoamericanos solo pueden postular si cumplen con estos requisitos de residencia. La beca no requiere pago de inscripción y los fondos otorgados (alrededor de 175 becas anuales) son de libre uso para los seleccionados, aunque el monto varía según el caso y no se especifica una suma fija; la Fundación aclara que no cubre necesariamente todos los costos del proyecto ni reemplaza un salario completo. Las disciplinas comprendidas abarcan todas las formas de arte y campos académicos, y pueden postular tanto personas afiliadas a instituciones como independientes."
Reino Unido,Convocatoria,Call for Papers: Voice/s in the Museum,"Call for Papers: Voice/s in the Museum está dirigida a investigadores, académicos, artistas y profesionales de museos interesados en explorar el papel de la voz en contextos museísticos, tanto desde perspectivas teóricas como prácticas. La convocatoria acepta propuestas relacionadas con estudios museológicos, arte contemporáneo, performance, historia del arte, educación, curaduría y disciplinas afines. No se requiere pago de inscripción para participar. No se especifica un monto de dinero destinado a los seleccionados ni se mencionan honorarios para los participantes. La convocatoria está abierta a postulantes internacionales, incluyendo artistas e investigadores de Latinoamérica."
EEUU,Convocatoria,apexart Seeks Curatorial Proposals for Next Season of Exhibitions,"Dirigida a curadores, artistas, escritores y creativos de cualquier nacionalidad y nivel de experiencia, la oportunidad apexart Seeks Curatorial Proposals for Next Season of Exhibitions invita a enviar propuestas en inglés para exposiciones colectivas basadas en ideas originales, sin requerir pago de inscripción. Se seleccionarán cinco propuestas para realizarse en la sede de apexart en Nueva York durante la temporada 2026–27, cada una con un presupuesto de producción de hasta 10,000 USD, apoyo administrativo y difusión internacional. No exige experiencia previa ni restricciones geográficas, por lo que está abierta a participantes de América Latina."
India,Convocatoria,Echoes of Earth Call for Artists,"Convocatoria dirigida a artistas de instalaciones y disciplinas multidisciplinarias cuyas obras estén vinculadas a la naturaleza, la sostenibilidad y la imaginación audaz, abierta internacionalmente sin restricciones geográficas explícitas, por lo que pueden postular artistas de Latinoamérica. Se aceptan propuestas en instalación escultórica y cinética, murales y grafiti, arte interactivo (para público general e infantil), medios luminosos e inmersivos, arte digital, motion y multimedia, e instalaciones sonoras. No se menciona pago de inscripción ni se especifica monto económico o estipendio para los artistas seleccionados; la oportunidad consiste en exhibir obra en el festival Echoes of Earth, reconocido por su enfoque en sostenibilidad y arte. La fecha límite para postular es el 28 de agosto de 2025. Falta información sobre remuneración o apoyos económicos para los participantes."
Reino Unido,Residencia,HOUSE Open Call,"HOUSE Open Call está dirigida a artistas visuales emergentes y de media carrera de cualquier nacionalidad, para una residencia de dos meses en Londres durante 2025, enfocada en la experimentación interdisciplinaria y la colaboración. La convocatoria acepta propuestas de diversas disciplinas visuales, instalaciones, sonido, performance y arte digital. Los artistas seleccionados recibirán un estipendio de £3,000 para cubrir gastos personales y de producción, además de alojamiento gratuito y acceso a estudios y apoyo curatorial. No se requiere ningún pago de inscripción para participar. La oportunidad está abierta a artistas internacionales, incluyendo Latinoamérica, siempre que puedan gestionar su visado si es necesario."
EEUU,Residencia,Pioneer Works 2026 Visual Arts and Music Residency Open Call,"La convocatoria Pioneer Works 2026 Visual Arts and Music Residency Open Call está dirigida a artistas visuales y músicos emergentes o de media carrera de cualquier nacionalidad, incluyendo artistas de Latinoamérica, que trabajen de manera profesional y busquen un entorno interdisciplinar y colaborativo; no se aceptan estudiantes ni exalumnos del programa. No se requiere pago de inscripción para participar. Las disciplinas involucradas son artes visuales y música, permitiendo tanto postulaciones individuales como de colectivos (en cuyo caso los recursos se comparten). Los residentes seleccionados reciben estudio gratuito y acceso a instalaciones especializadas; los artistas visuales reciben un honorario de $2,500 dólares y los músicos $1,000 dólares. El programa no cubre alojamiento, viajes ni gestiones de visado para participantes internacionales."
Estonia,Residencia,"AJUOKSE Micro-Residency in Tartu, Estonia","AJUOKSE Micro-Residency in Tartu, Estonia está dirigida a artistas alternativos de todo el mundo, especialmente aquellos interesados en la experimentación, el espíritu DIY y el humor en el arte, con énfasis en disciplinas como dibujo, pintura, ilustración, arte urbano, cómic y enfoques multidisciplinares; la convocatoria es internacional y abierta a artistas de Latinoamérica. La residencia tiene una duración de dos semanas (6 al 19 de noviembre de 2025) e incluye un apoyo económico de hasta 850 € para los seleccionados, que cubre estipendio, alojamiento privado y materiales; no se menciona ningún pago de inscripción para participar."
Múltiples Países,Residencia,OPEN CALL: Residency Programs at CO.LABS 2026 – Performing Arts,"OPEN CALL: Residency Programs at CO.LABS 2026 – Performing Arts está dirigida a artistas y colectivos de artes escénicas (teatro, danza, performance y disciplinas afines) interesados en desarrollar proyectos innovadores durante una residencia en 2026; la convocatoria acepta postulaciones internacionales, incluyendo artistas de Latinoamérica. No se requiere pago de inscripción para participar. La oportunidad contempla un estipendio de 2.000 EUR para cada artista o colectivo seleccionado, además de alojamiento y espacio de trabajo durante la residencia. La convocatoria fomenta la colaboración interdisciplinaria y la presentación pública de los procesos y resultados, y no restringe la postulación por nacionalidad ni residencia, permitiendo la participación de creadores de cualquier país."
Reino Unido,Convocatoria,Design 2025 – Call for Designers at LCB Depot,"Design 2025 – Call for Designers at LCB Depot está dirigida a arquitectos, diseñadores gráficos, diseñadores digitales y creativos de todas las áreas del diseño, tanto establecidos como emergentes, interesados en exhibir su trabajo y participar en el programa anual de diseño de LCB Depot en Leicester. La convocatoria incluye disciplinas como arquitectura, diseño gráfico, diseño digital y diseño de productos, bajo el tema “Home”, y ofrece la posibilidad de mostrar obras, organizar eventos y conectar con la comunidad internacional de diseño. No se especifica un pago por inscripción ni se menciona un monto económico destinado a los artistas seleccionados; los beneficios consisten principalmente en visibilidad, promoción en redes sociales y apoyo en ventas durante la exhibición. La oportunidad está abierta a participantes internacionales y no restringe la postulación de artistas de Latinoamérica."
Reino Unido,Convocatoria,Castlefield Gallery Associates Exhibition,"Dirigida exclusivamente a miembros activos de Castlefield Gallery Associates, esta convocatoria seleccionará una propuesta expositiva para integrar el programa oficial 2025/26 de la galería, bajo la curaduría de Cindy Sissokho. No se menciona pago de inscripción, pero es imprescindible ser miembro (lo cual podría requerir una cuota anual). La oportunidad está orientada a artistas y creativos contemporáneos sin restricción de disciplina específica, siempre que sean asociados, y ofrece un presupuesto de hasta £2,000 para honorarios y producción, además de apoyo curatorial y técnico. No se especifican restricciones geográficas adicionales, pero la membresía y la falta de información explícita sobre elegibilidad internacional sugieren que artistas de Latinoamérica solo podrán participar si se asocian previamente y cumplen los requisitos de membresía."
EEUU,Residencia,Bresler Resident Artists + Montgomery College Collaborative AiR,"Dirigida a artistas profesionales individuales o colectivos mayores de 18 años, de cualquier nacionalidad, que trabajen en todas las disciplinas de artes visuales y estén interesados en colaborar con estudiantes universitarios; no se permite el uso de materiales peligrosos ni está destinada a artistas comerciales o estudiantes de pregrado. La residencia otorga un estudio gratuito por cuatro meses en VisArts (Rockville, MD), un estipendio de $2,000 USD y una exhibición individual; además, quienes participen en la modalidad colaborativa con Montgomery College reciben un estipendio adicional de $3,000 USD por tres semanas de trabajo conjunto con estudiantes y hasta $1,000 USD para materiales, sin incluir alojamiento ni viaje. No se requiere ningún pago de inscripción para postular. La convocatoria está abierta internacionalmente, por lo que pueden aplicar artistas de Latinoamérica."
Alemania,Oportunidad,Goldrausch Künstlerinnenprojekt 2026 – Professional Development,"Dirigida a artistas visuales FLINTA (mujeres, lesbianas, intersex, no binarias, trans y agénero) de cualquier edad y disciplina, con preferencia por quienes cuenten con título en bellas artes o experiencia equivalente y que residan en Berlín; es requisito tener conocimientos suficientes de alemán e inglés para seguir las discusiones. El Goldrausch Künstlerinnenprojekt 2026 – Professional Development es un programa anual de formación profesional (enero-diciembre de 2026), completamente financiado por fondos europeos y estatales (sin pago de inscripción ni matrícula) que ofrece formación práctica, desarrollo de habilidades de presentación, orientación sobre autoempleo, contactos con la escena local y una exposición grupal final; no hay estipendio ni monto económico directo para las participantes. La oportunidad no está abierta a artistas que no residan en Berlín, por lo que no pueden postular artistas de Latinoamérica a menos que ya vivan en esa ciudad."
Alemania,Convocatoria,Curatorial Fellowship and Residency 2026/2027 at HBK Braunschweig,"Dirigida a curadores con al menos tres años de experiencia profesional, sin restricción de nacionalidad, interesados en desarrollar un proyecto curatorial vinculado a una institución cultural, museo o colección, preferentemente en colaboración con la comunidad académica y artística de la HBK Braunschweig. No se requiere pago alguno para postular. La oportunidad cubre exclusivamente el ámbito curatorial (no para artistas visuales, músicos, etc.) y otorga una beca de 1.400 euros mensuales durante 12 meses, además de acceso a un espacio de trabajo totalmente equipado y la expectativa de presencia física en la universidad al menos una semana al mes. La convocatoria está abierta a postulantes de Latinoamérica que cumplan con los requisitos de experiencia y documentación."
Corea del Sur,Residencia,#getinspiredinbusan 2026,"La convocatoria #getinspiredinbusan 2026 está dirigida a artistas visuales, fotógrafos, performers y creativos contemporáneos interesados en desarrollar proyectos en Busan, Corea del Sur. La oportunidad consiste en una residencia artística internacional que ofrece espacio de trabajo y acceso a la comunidad creativa local, pero no especifica en su página ningún monto de apoyo económico ni estipendio para los artistas seleccionados, ni tampoco detalla presupuesto de producción. No se menciona ningún pago de inscripción para participar, aunque tampoco se indica expresamente que la postulación sea gratuita. La residencia está abierta a artistas de cualquier nacionalidad, incluidos los de Latinoamérica, siempre que presenten una propuesta relevante para el contexto creativo de Busan. Falta información sobre bases detalladas, criterios de selección y condiciones económicas exactas, por lo que se recomienda consultar directamente con la organización antes de aplicar."
Global,Residencia,SVA’s The Artist Residency Project,"SVA’s The Artist Residency Project está dirigido a artistas visuales de todas las etapas de su carrera, sin restricción de nacionalidad, incluidos artistas de Latinoamérica, y ofrece una residencia virtual de cuatro semanas enfocada en la producción y desarrollo de obra, acceso a seminarios, tutorías y presentaciones públicas. La oportunidad requiere el pago de una matrícula de USD 1,200 para participar, no otorga estipendio ni apoyo económico a los seleccionados, y está orientada a disciplinas como pintura, dibujo, fotografía, escultura, medios digitales y otras artes visuales contemporáneas."
United States,Convocatoria,Long Tone: Thesis Studio with David Gersten,"Long Tone: Thesis Studio with David Gersten está dirigida a artistas, pensadores y creadores de cualquier disciplina y nacionalidad, incluyendo América Latina, interesados en la exploración creativa y el desarrollo de proyectos personales en un entorno de intercambio interdisciplinario; el programa se desarrolla de manera presencial del 15 de septiembre al 5 de diciembre de 2025 en Arts Letters & Numbers (Nueva York) y abarca prácticas como artes visuales, arquitectura, música, cine, literatura, ciencias sociales y humanidades. No se encuentra información pública sobre un monto de apoyo económico ni se especifica el pago de inscripción en la descripción disponible; tampoco se detallan becas, premios u honorarios para los participantes, por lo que estos aspectos podrían requerir confirmación directa con la organización."
Brasil ,Residencia,"Instituto Sacatar, Itaparica, Brazil","El programa de residencias del Instituto Sacatar en Itaparica, Brasil, está dirigido a personas creativas de todas las nacionalidades y disciplinas artísticas, incluyendo artes visuales, escritura, música, performance, cine, entre otras, y acepta postulaciones de artistas latinoamericanos. La residencia cubre alojamiento privado, estudio de trabajo acorde a la disciplina, todas las comidas (excepto sábados en la noche, domingos y feriados brasileños) y apoyo logístico, pero no otorga un estipendio económico general ni cubre pasajes, salvo en convocatorias específicas como la reciente dirigida a artistas africanos, que incluyó pasaje aéreo y un estipendio de 3.000 reales brasileños. Para postularse a la convocatoria internacional regular, es necesario pagar una tasa de inscripción de 25 dólares estadounidenses; no se cobra ningún otro pago a los seleccionados y no se aceptan postulaciones grupales."
Alemania,Fondos,Braunschweig Projects 2026/27: 7 Fellowships and Artist residencies,"Braunschweig Projects 2026/27: 7 Fellowships and Artist residencies está dirigida a artistas visuales profesionales de cualquier nacionalidad, incluyendo América Latina, que cuenten con un título universitario en arte o experiencia profesional equivalente y que hayan realizado exposiciones individuales. No se requiere pago alguno para aplicar. La convocatoria abarca principalmente disciplinas de las artes visuales, con énfasis en prácticas contemporáneas. Cada artista seleccionado recibirá una residencia de 12 meses que incluye un estipendio mensual de 1,800 euros, apoyo para materiales de hasta 1,000 euros en total, y un presupuesto de viaje de hasta 1,000 euros; además, se proporciona alojamiento gratuito y un estudio de trabajo. No se identifican restricciones geográficas excluyentes, por lo que la oportunidad está abierta a postulantes de América Latina."
EEUU,Residencia,William Flanagan Memorial Creative Persons Center,"Dirigida a escritores y artistas visuales de cualquier nacionalidad y nivel de trayectoria que deseen desarrollar su trabajo en un entorno de retiro en Montauk, Nueva York, la residencia William Flanagan Memorial Creative Persons Center ofrece tiempo y espacio de trabajo sin interrupciones, seleccionando solo por talento y necesidad sin restricciones geográficas. No se requiere pago de inscripción para participar, y la residencia cubre alojamiento y espacio de trabajo; no se especifican estipendios ni montos económicos directos para los residentes. La convocatoria está abierta a artistas de Latinoamérica, siempre que puedan demostrar la autoría de su obra y presenten una declaración de necesidad y proyecto a desarrollar."
Argentina,Residencia,SGCI micro-Residency | Special Program,"Dirigida a artistas de todas las nacionalidades interesados en el grabado, la mediación cultural y la producción gráfica contemporánea, la micro-residencia Graphic Drift se realiza del 8 al 21 de marzo de 2026 (con opción de una semana adicional de trabajo en estudio) en La Plata, Argentina; no requiere pago de inscripción para postular, según lo informado oficialmente, y está abierta a artistas de Latinoamérica. El programa abarca disciplinas como el grabado, las artes gráficas y la mediación cultural, e incluye actividades como visitas a talleres, producción colectiva, recorridos y encuentros con agentes locales. No se especifica monto de dinero o estipendio para los seleccionados; los participantes asumen los costos de viaje, manutención y estadía, aunque se menciona la posibilidad de acceder a precios preferenciales en alojamiento."
Perú,Residencia,Chokechaka Artist Residency,"Chokechaka Artist Residency está dirigida a artistas, académicos, activistas y creativos de todas las disciplinas y nacionalidades, incluyendo explícitamente a personas de América Latina, que deseen realizar una residencia de 1 a 4 semanas en el Valle Sagrado de los Incas, Perú, en un entorno de trabajo sereno y comunitario. No se menciona la existencia de un pago de inscripción para postular ni se especifica la entrega de un estipendio económico o premio para los seleccionados; los artistas deben costear su estadía, la cual incluye alojamiento en habitaciones con baño privado, desayuno y acceso a espacios de trabajo, con la opción de contratar comidas adicionales. La residencia está abierta a diversas disciplinas artísticas y fomenta tanto el trabajo individual como la interacción y el intercambio cultural entre residentes."
Argentina,Convocatoria,Palimpsest Project | Mural Painting Open Call,"Palimpsest Project | Mural Painting Open Call está dirigida a artistas visuales, tanto profesionales como emergentes, con especial interés en el muralismo y/o arte urbano, incluyendo colectivos de hasta dos personas; la convocatoria está abierta todo el año y no requiere pago de inscripción para postular. La residencia contempla trabajo artístico en formatos mural y otras disciplinas expandiendo hacia prácticas visuales, performáticas, sonoras, curatoriales y medios digitales; se fomenta la colaboración entre residentes y con la escena local. Los artistas seleccionados deben cubrir sus propios gastos (pasajes, alojamiento, materiales especiales, seguro médico y envío de obras), existiendo tarifas variables según edad, duración y servicios elegidos, y no se otorgan estipendios ni apoyos económicos directos. La oportunidad está abierta a artistas de Latinoamérica y de cualquier nacionalidad sin restricciones de origen."
Chile,Convocatoria,Encuentro de prácticas creativas disciplinares del títere y la marioneta 2025,"Dirigida a personas naturales mayores de 18 años, con al menos 5 años de trayectoria en la disciplina del títere o la marioneta y participación en al menos 3 obras escénicas como creador, intérprete o director; la oportunidad no requiere pago de inscripción para postular. Incluye talleres presenciales de especialización en dramaturgia, dirección y diseño escénico, impartidos por profesionales destacados, y está enfocada exclusivamente en estas disciplinas vinculadas a los títeres y marionetas. Se seleccionarán 15 artistas, quienes recibirán financiamiento completo para traslado, alojamiento y alimentación durante el encuentro, pero no se contempla un estipendio adicional ni premio monetario directo; la convocatoria está restringida a residentes en el país, por lo que no está abierta a artistas de toda Latinoamérica."
España,Convocatoria,"Convocatoria para FETEN 2026, Feria Internacional de Artes Escénicas para niños, niñas y familias","Convocatoria para FETEN 2026, Feria Internacional de Artes Escénicas para niños, niñas y familias, dirigida a compañías y artistas profesionales de cualquier país que presenten espectáculos de todos los lenguajes escénicos (teatro, circo, danza, títeres, objetos, musical, clown, documental, instalaciones, etc.), tanto para sala como para calle, enfocados principalmente en público infantil, familiar y juvenil; no se especifica restricción geográfica, por lo que pueden postular artistas de Latinoamérica. La inscripción es gratuita, sin pago de tasas para participar, y no se detallan premios económicos ni montos fijos de remuneración para los seleccionados; la feria prioriza la visibilidad ante programadores y el acceso a nuevos circuitos, pero la información pública no menciona honorarios, ayudas a la producción ni cachés garantizados."
España,Convocatoria,"FIG Bilbao, Festival Internacional de Grabado y Arte sobre Papel de Bilbao","FIG Bilbao, Festival Internacional de Grabado y Arte sobre Papel de Bilbao, abre su convocatoria para su 14ª edición dirigida a galerías de arte y talleres de grabado que representen a artistas que trabajen con técnicas de grabado y otras artes sobre papel; la convocatoria no está dirigida directamente a artistas individuales, sino a las instituciones que los representan. No se encuentra información específica sobre un pago de inscripción para participar, ni sobre montos de premios o apoyos económicos directos a los artistas seleccionados. La convocatoria está abierta a participantes internacionales, lo que incluye a artistas y galerías de Latinoamérica, siempre que presenten propuestas vinculadas a las disciplinas mencionadas."
Colombia,Convocatoria,Festival Internacional de Cine Fusagasugá,"Dirigida a cineastas de Colombia y de todo el mundo, la convocatoria 2025 del Festival Internacional de Cine Fusagasugá (FICFUSA) acepta cortometrajes de hasta 15 minutos realizados en municipios de Cundinamarca y largometrajes de mínimo 45 minutos que aborden realidades diversas de las mujeres; la inscripción es gratuita y se realiza exclusivamente a través del sitio oficial del festival, sin que se mencionen premios económicos ni montos destinados a los artistas seleccionados o ganadores en la información disponible, y la participación está abierta a artistas latinoamericanos y de cualquier nacionalidad, siempre que cumplan con los requisitos temáticos y de duración de las obras."
España,Convocatoria,Convocatoria Internacional para artistas Bionic Festival 2025,"La Convocatoria Internacional para artistas Bionic Festival 2025 está dirigida a artistas, bailarines y performers de cualquier nacionalidad, invitando especialmente a quienes trabajan en danza, música y artes escénicas a crear propuestas que integren plantas y árboles móviles en sus piezas, promoviendo nuevas narrativas artísticas y una transición verde en las artes. No se especifica ningún pago de inscripción para participar. La convocatoria es de carácter internacional y no excluye a artistas de Latinoamérica. No se encuentra información detallada sobre montos de dinero estipulados para los artistas seleccionados o premiados."
Italia,Convocatoria,Venice International Art Afair,"Dirigida a artistas, fotógrafos, videastas y performers de cualquier nacionalidad, incluyendo América Latina, la Venice International Art Fair 2025 convoca a participar en su 22ª edición, que se realizará del 17 al 29 de septiembre de 2025 en el Palazzo Albrizzi-Capello y otros espacios en Venecia; la convocatoria abarca disciplinas como pintura, fotografía, videoarte, instalación, escultura y arte performático. La participación requiere el envío de portafolio y biografía para la selección, y solo las obras seleccionadas deben abonar una tarifa de inscripción (el monto exacto no se especifica en la convocatoria pública). No se menciona ningún premio en dinero ni estipendio para los artistas seleccionados; la oportunidad se centra en la exhibición y visibilidad internacional."
Francia,Beca,"""France Excellence Eiffel"", 2025","La beca France Excellence Eiffel 2025 está dirigida principalmente a estudiantes internacionales, incluidos latinoamericanos, interesados en cursar estudios de maestría o doctorado en Francia en disciplinas como artes, arquitectura, ingeniería, ciencias sociales, entre otras. No se requiere pago de inscripción para postularse. El programa ofrece una beca mensual de aproximadamente 1.181 EUR para maestría y 1.700 EUR para doctorado, además de cubrir gastos de viaje, seguro médico y actividades culturales. La convocatoria está abierta a diversas áreas artísticas, y busca fomentar la movilidad académica y profesional de jóvenes talentos, permitiendo que títulos obtenidos en Francia sean reconocidos en Latinoamérica. Falta información específica sobre bases detalladas para disciplinas artísticas o montos adicionales de producción, pero la beca cubre los gastos esenciales para los seleccionados."
Eslovakia,Beca,Programa Nacional de Becas de la República Eslovaca para 2025,"Dirigida a estudiantes universitarios, doctorandos, docentes, investigadores y artistas internacionales que deseen realizar estancias académicas, de investigación o actividades artísticas en instituciones de Eslovaquia; no se requiere pago de inscripción para participar; pueden aplicar artistas de Latinoamérica siempre que cumplan los requisitos de elegibilidad; las disciplinas artísticas involucradas son abiertas, abarcando todas las áreas creativas; el monto mensual destinado a artistas seleccionados varía entre 1,025.50 EUR y 1,470 EUR según perfil y trayectoria, además de la posibilidad de recibir un subsidio único de viaje al finalizar la residencia; la postulación se realiza exclusivamente en línea y la beca no es compatible con otros apoyos estatales eslovacos."
EEUU,Beca,La Beca W. Eugene Smith,"La Beca W. Eugene Smith para Estudiantes está dirigida a fotógrafos mayores de 18 años que sean estudiantes acreditados y cuyo trabajo, en el campo de la fotografía documental o el fotoperiodismo, demuestre un compromiso con la documentación de la condición humana y la promoción del cambio social. La oportunidad requiere el pago de una tasa de inscripción de 10 USD, aunque existen exenciones disponibles a través de organizaciones asociadas para quienes no puedan afrontar el pago. La disciplina artística involucrada es exclusivamente la fotografía documental y el fotoperiodismo, permitiéndose la incorporación de elementos multimedia. El monto otorgado al ganador es de 5,000 USD para el desarrollo o finalización de un ensayo fotográfico significativo. La convocatoria está abierta a estudiantes de cualquier nacionalidad, incluyendo artistas de Latinoamérica, siempre que cumplan con los requisitos y presenten la documentación solicitada, como una identificación de estudiante vigente y una propuesta detallada del proyecto."
EEUU,Fondos,Global Fund for Women otorga apoyo financiero a organizaciones lideradas por mujeres,"Dirigida a artistas mujeres, personas LGBTQI+, personas racializadas y de comunidades marginadas, el Artist Changemaker Program de Global Fund for Women selecciona anualmente a ocho artistas de todo el mundo, priorizando países del llamado ""majority world"", para otorgarles un apoyo financiero único, flexible y sin restricciones; el monto específico no se detalla públicamente. No se requiere pago alguno para participar y la convocatoria está abierta a artistas de diversas disciplinas que trabajen en la intersección entre arte y justicia de género. El programa acepta postulaciones de artistas de Latinoamérica."
Austria,Convocatoria,MBZ LAB // Sonic Collaboration in Unconventional Spaces,"MBZ LAB // Sonic Collaboration in Unconventional Spaces está dirigida a artistas y colectivos interesados en la creación sonora colaborativa en espacios no convencionales, con un enfoque en la música contemporánea y experimental; la convocatoria se orienta principalmente a profesionales emergentes o establecidos en el ámbito de las artes sonoras y musicales. No se requiere pago de inscripción para participar. Las disciplinas involucradas incluyen principalmente la música, el arte sonoro y la experimentación interdisciplinaria en contextos espaciales alternativos. El monto destinado a los artistas seleccionados no se especifica en la información disponible públicamente. Tampoco se detalla si la convocatoria está abierta a artistas de Latinoamérica, ya que los textos revisados no mencionan restricciones geográficas claras ni indican expresamente la elegibilidad internacional; se recomienda consultar directamente las bases oficiales para confirmar estos aspectos."
EEUU,Convocatoria,CAMPGround26 Call for Installation Proposals,"La convocatoria CAMPGround26 Call for Installation Proposals está dirigida a artistas y colectivos internacionales interesados en la creación de instalaciones multimedia y arte sonoro, especialmente vinculados a la música contemporánea y nuevas tecnologías. No se requiere pago de inscripción para participar. El monto destinado para cada propuesta seleccionada es de 1.000 € para la producción, además de alojamiento y comidas durante el festival; no se especifica un pago adicional por honorarios artísticos. La oportunidad está abierta a artistas de todas las nacionalidades, incluyendo latinoamericanos, siempre que presenten una propuesta original y viable para ser instalada y presentada durante CAMPGround26."
EEUU,Convocatoria,CAMPGround26 Call for Works,"Dirigida a compositores, artistas sonoros y creadores de instalaciones de cualquier nacionalidad, la convocatoria CAMPGround26 Call for Works acepta propuestas de obras musicales contemporáneas y proyectos de instalación sonora o multimedia para ser presentados en el festival organizado por Contemporary Art Music Project (CAMP). No se requiere pago de inscripción para participar y la convocatoria está abierta a artistas de cualquier región, incluyendo Latinoamérica. Las disciplinas consideradas incluyen música contemporánea, arte sonoro, instalaciones multimedia y propuestas interdisciplinarias afines. No se especifica un monto de honorarios, premios ni compensación económica para los artistas seleccionados; la información disponible no indica apoyo financiero directo ni reembolso de gastos, por lo que se recomienda consultar directamente con los organizadores para detalles adicionales sobre posibles coberturas o apoyos."
Italia,Convocatoria,Composition Mentoring Program with Valerio Sannicandro,"Dirigida a jóvenes compositores de música contemporánea interesados en recibir mentoría personalizada de Valerio Sannicandro. El Composition Mentoring Program with Valerio Sannicandro no exige pago de inscripción para participar y se enfoca exclusivamente en la disciplina de composición musical. La convocatoria ofrece apoyo formativo, pero no especifica un monto de dinero ni estipendio para los seleccionados, y tampoco se detallan premios económicos. Está abierta a postulantes internacionales, incluyendo artistas de Latinoamérica. Falta información sobre bases específicas y condiciones detalladas en la página consultada."
EEUU,Residencia,Open call for Architecture Residency 2026,"Dirigida a diez arquitectos de carrera temprana a media de todo el mundo para una residencia de dos semanas del 28 de mayo al 15 de junio de 2026 en el campus de Art Omi en Hudson Valley. Ubicado a dos horas al norte de Nueva York. Los residentes son seleccionados a través de un proceso de aplicación gratuito y abierto basado en la fuerza de su proyecto propuesto y portafolio. El programa proporciona tiempo y espacio dedicado para trabajar independientemente, culminando en una presentación informal. Los solicitantes deben haber estado activos profesionalmente durante al menos cinco años después de la licenciatura o maestría en arquitectura. No requiere pago para aplicar. Disciplinas: arquitectura. Abierto a arquitectos de Latinoamérica."
Portugal,Residencia,Aviário Studio Printmaking Residency - Winter/Spring 2025-26,"Residencia internacional dirigida a artistas mayores de 21 años interesados en el grabado y la obra gráfica en gran formato. No existe costo de inscripción, pero los seleccionados deben cubrir la cuota de residencia, así como sus gastos de viaje, materiales y alimentación. Las disciplinas principales son grabado, serigrafía, monotipo, transfer, y técnicas mixtas, con acceso a equipamiento profesional especializado. No se otorgan premios en efectivo ni apoyos económicos, aunque se anima a buscar financiamiento externo. La residencia está abierta a participantes internacionales, pero no se especifica explícitamente la inclusión de artistas de Latinoamérica."
