Resumen generado por la IA,Oportunidades relacionadas,Nombre,Destinatarios,URL,País,Fecha de cierre,Publicar,Entidad,Inscripcion,Obtener Base URL,Obtener BASE URL?,Og_Resumida,Obtener Disciplinas,Base URL,Categoría,Disciplina,Created time,Estado de la oportunidad,AI keywords,Top,Obtener Disciplina,Instituciones,Tutorial,URL Tutorial,Texto Tutorial,Monto_Extraido_LLM,Moneda_Extraida_LLM
Convocatoria︱Exposición Anual SWLA,,Society Of Wildlife Artists Open Call,Revisar,https://www.artconnect.com/opportunity/WZ1YrRReziP4fl-jX6Jdx,Reino Unido,"August 22, 2025",Yes,Society Of Wildlife Artists,,,No,"La convocatoria Society Of Wildlife Artists Open Call está dirigida a artistas de todas las nacionalidades interesados en temas de vida silvestre y naturaleza, sin restricción geográfica explícita, por lo que pueden postular artistas de Latinoamérica si cumplen con los requisitos generales. La oportunidad acepta obras en diversas disciplinas de las artes visuales, incluyendo pintura, escultura, dibujo, grabado y medios mixtos, siempre que el enfoque sea la representación de la vida silvestre. La postulación requiere el pago de una cuota de inscripción por cada obra presentada, cuyo monto exacto debe ser consultado en la sección de bases, pero típicamente oscila entre £20 y £30 por obra. Los artistas seleccionados tendrán la oportunidad de exhibir en la exposición anual de la Society of Wildlife Artists y optar a premios monetarios, siendo el premio principal de £2,000, además de otros reconocimientos económicos menores y posibles adquisiciones de obra. No se mencionan restricciones para artistas latinoamericanos y la postulación es completamente internacional, pero es fundamental revisar las bases para requisitos específicos y detalles sobre el envío de obras o logística en caso de ser seleccionado.",,https://www.mallgalleries.org.uk/open-calls/society-wildlife-artists,Convocatoria,"Visuales, Artes, Escultura","August 16, 2025 11:17 PM",,,No,No,Institution URL not found,No,,,,
Convocatoria︱Naas Research & Curatorial Fellowship,,Naas Research & Curatorial Fellowship,Revisar,https://www.artconnect.com/opportunity/QzDzMO4_f5-PQZM6fV4hh,Múltiples Países,"August 22, 2025",Yes,Naas,,,No,"Convocatoria Naas Research & Curatorial Fellowship dirigida a artistas, comisarios e investigadores de cualquier nacionalidad y etapa de carrera interesados en desarrollar proyectos curatoriales o de investigación artística contemporánea; no se requiere pago de inscripción para postular; la oportunidad abarca disciplinas como artes visuales, teoría crítica, curaduría y prácticas interdisciplinares; los seleccionados reciben una beca de 2.000 euros para el desarrollo del proyecto, acceso a mentoría y apoyo institucional, y la convocatoria está abierta para postulantes de Latinoamérica.",,https://www.naasnetwork.org/topic/default/naas-research-curatorial-fellowship,Convocatoria,"Visuales, Curaduría, Investigación","August 16, 2025 11:18 PM",,,No,No,https://www.naasnetwork.org/topic/default/naas-research-curatorial-fellowship,No,,,,
Convocatoria︱Mural Coral Springs Museum Art,,Mural For Coral Springs Museum Of Art Downtown,Revisar,https://www.artconnect.com/opportunity/EnBWrxO3caddz134wT8Pj,EEUU,"August 22, 2025",Yes,Coral Springs Museum,,,No,"Convocatoria dirigida a artistas visuales para crear un mural en el Downtown de Coral Springs Museum of Art; pueden postular artistas de cualquier nacionalidad, incluyendo latinoamericanos. La oportunidad está abierta a propuestas individuales o colaborativas en disciplinas de arte mural o arte público. No se requiere pago de inscripción para participar. El monto destinado al o la artista seleccionada es de $7,500 USD, que cubre honorarios, materiales y producción de la obra.",,https://artist.callforentry.org/festivals_unique_info.php?ID=15877,Convocatoria,"Visuales, Mural, ArtePúblico","August 16, 2025 11:20 PM",,,No,No,https://artist.callforentry.org/festivals_unique_info.php?ID=15877,No,,,,
Convocatoria︱Pakd Gallery,,Spanning Delta 2 - Pakd Gallery Berlin,Revisar,https://www.artconnect.com/opportunity/j0bWelDNrGV0RhVTu7yA-,Alemania,"August 25, 2025",Yes,Pakd Gallery,,,No,"La convocatoria Spanning Delta 2 - Pakd Gallery Berlin está dirigida a artistas visuales contemporáneos de cualquier nacionalidad y nivel de experiencia, incluyendo a artistas de Latinoamérica, para participar en una exposición colectiva en Berlín. No se requiere pago de inscripción para aplicar. La oportunidad abarca principalmente disciplinas como pintura, escultura, fotografía, instalación y arte digital. Los artistas seleccionados recibirán un premio monetario de 1.000 EUR, además de exhibición física y difusión internacional. No hay restricciones geográficas en la elegibilidad, por lo que artistas latinoamericanos pueden participar libremente.",,https://www.pakd-gallery.com/spanning-delta-ii,Convocatoria,"Visuales, Pintura, Escultura","August 16, 2025 11:25 PM",,,No,No,https://www.pakd-gallery.com/spanning-delta-ii,No,,,,
Residencia︱Open Call Residency Suriname,,Open Call Residency Suriname 2026,Revisar,https://www.artconnect.com/opportunity/ILomptxMxUCCyf6NgpzFk,Suriname,"August 25, 2025",Yes,Stimuleringsfonds,,,No,"Open Call Residency Suriname 2026 está dirigida a artistas visuales de cualquier nacionalidad, sin restricciones geográficas, por lo que pueden aplicar artistas de Latinoamérica; la convocatoria abarca prácticas como pintura, escultura, instalación, fotografía, videoarte y arte digital. No se menciona ningún pago de inscripción para participar. Los artistas seleccionados recibirán una residencia de dos meses en Surinam, con alojamiento, estudio, apoyo curatorial y un estipendio de 1.500 euros para cubrir gastos personales y de producción, además del costo del viaje cubierto por la organización.",,https://www.stimuleringsfonds.nl/en/grants/open-call-residency-suriname,Residencia,"Visuales, Pintura, Escultura","August 16, 2025 11:28 PM",,,No,No,https://www.stimuleringsfonds.nl/subsidies/open-oproep-residency-suriname?utm_medium=email&utm_campaign=%F0%9F%93%A9%20Nieuwe%20residency%20in%20Suriname%20en%20tien%20...&utm_source=YMLP,No,,,,
Convocatoria︱Fresh Perspectives,,Open Call: Fresh Perspectives,Revisar,https://www.artconnect.com/opportunity/i0kgfcENjnthUfkd8PPDM,Países Bajos,"August 26, 2025",Yes,Stimuleringsfonds,,,No,"La convocatoria Open Call: Fresh Perspectives está dirigida a artistas visuales mayores de 18 años de cualquier nacionalidad, sin restricción geográfica, por lo que pueden postular artistas de Latinoamérica; acepta disciplinas como pintura, dibujo, fotografía, escultura, instalación, arte digital y medios mixtos. La participación es gratuita, no requiere pago de inscripción para ser considerada. Los artistas seleccionados recibirán un premio de 200 euros cada uno y visibilidad a través de la plataforma ArtConnect; no se mencionan otros apoyos económicos ni gastos cubiertos.",,https://www.stimuleringsfonds.nl/en/grants/open-call-fresh-perspectives-2025,Convocatoria,"Visuales, Pintura, Fotografía","August 16, 2025 11:32 PM",,,No,No,https://www.stimuleringsfonds.nl/en/grants/open-call-fresh-perspectives-2025,No,,,,
Convocatoria︱Cinemart Project Submission,,Cinemart Project Submission,Revisar,https://www.artconnect.com/opportunity/JQZcoHYYAhyggJwK-DNKV,Países Bajos,"August 27, 2025",Yes,International Film Festival Rotterdam,,,No,"Cinemart Project Submission está dirigida a cineastas y productores de cualquier nacionalidad que cuenten con un proyecto de largometraje en desarrollo, sin restricción de país de residencia, por lo que pueden postular artistas de Latinoamérica. La convocatoria abarca proyectos cinematográficos de ficción, documental, animación e híbridos. No se requiere pago de inscripción para postular. Los proyectos seleccionados tendrán la oportunidad de presentarse ante profesionales de la industria internacional durante el evento y acceder a premios económicos que varían según los patrocinadores y categorías, destacando el Eurimages Co-production Development Award de €20,000 para el desarrollo de coproducciones, además de otros premios en efectivo y oportunidades de networking; la información específica sobre el monto total de otros premios puede variar cada año y depende de los socios del evento.",,https://iffr.com/en/iffr-pro/cinemart/cinemart-project-submission,Convocatoria,"Cine, Ficción, Documental","August 16, 2025 11:35 PM",,,No,No,https://iffr.com/en/iffr-pro/cinemart/cinemart-project-submission,No,,,,
Convocatoria︱Fotografica Next,,Fotografica Next,Revisar,https://www.artconnect.com/opportunity/BGoeW_GswUpn0NShBRlyD,Italia,"August 27, 2025",Yes,Fotografica Next,,,No,"Fotografica Next está dirigida a fotógrafos y artistas visuales contemporáneos mayores de 18 años, sin restricciones de nacionalidad, por lo que pueden postularse artistas de Latinoamérica. La convocatoria acepta propuestas en fotografía y medios relacionados. No se requiere pago de inscripción para participar. Los artistas seleccionados recibirán un premio de 1.000 € y la oportunidad de exhibir su trabajo en la principal exposición del programa.",,https://site.picter.com/fotografica-next-2025,Convocatoria,"Visuales, Fotografía","August 16, 2025 11:36 PM",,,No,No,https://site.picter.com/fotografica-next-2025,No,,,,
Convocatoria︱Sueños y pesadillas,,"The Boomer Gallery - ""Dreams and Nightmares"" Call For Artists",Revisar,https://www.onlyforartists.com/post/the-boomer-gallery-dreams-and-nightmares-call-for-artists,Reino Unido,"September 4, 2025",Yes,The Boomer Gallery,Pago,,No,"La convocatoria The Boomer Gallery - ""Dreams and Nightmares"" Call For Artists está dirigida a artistas de todo el mundo, sin restricciones de nacionalidad, incluyendo América Latina, que trabajen en cualquier disciplina artística como pintura, escultura, fotografía, instalación, grabado, textiles, ilustración, arte digital, arte asistido por IA y poesía. La aplicación es gratuita, pero los artistas seleccionados deben abonar una cuota de participación de £189 (IVA incluido) para exponer en la galería Tower Bridge de Londres, donde recibirán catálogo impreso y digital, apoyo en marketing, fotografía profesional, evento privado y opción de impresión/enmarcado sin costo extra; además, los artistas conservan el 100% de las ventas de sus obras y quedan integrados al programa de asesoría permanente de la galería. No se estipula premio económico directo para los seleccionados, siendo la principal retribución la exposición internacional y los beneficios asociados.",,https://boomergallery.net/dreams-and-nightmares-call-for-artists,Convocatoria,Visuales,"August 16, 2025 11:38 PM",,,No,No,,No,,,,
Convocatoria︱Graphic Competition 2025,,Faust/Vizual – Graphic Competition 2025,Revisar,https://www.onlyforartists.com/post/faust-vizual-graphic-competition-2025-1,Polonia,"September 15, 2025",Yes,Teatr im. Wandy Siemaszkowej,,,No,"Dirigida a jóvenes artistas, estudiantes y egresados de carreras de arte y diseño menores de 30 años de cualquier nacionalidad, la Faust/Vizual – Graphic Competition 2025 convoca a presentar hasta tres obras por participante en formato de cartel gráfico, animación o propuestas visuales experimentales inspiradas en el clásico “Fausto” de Goethe; la inscripción es gratuita y no requiere pago. La disciplina principal es el arte gráfico, incluyendo animación y nuevos medios visuales, y el premio para el ganador es de 10,000 PLN más la exhibición de la obra seleccionada. La oportunidad es internacional y está abierta a artistas de Latinoamérica.",,https://www.onlyforartists.com/post/faust-vizual-graphic-competition-2025-1,Convocatoria,"Diseño, Animación, Gráfica","August 16, 2025 11:38 PM",,,No,No,,No,,,,
Convocatoria︱Playground for Remaking Worlds,,Playground for Remaking Worlds,Revisar,https://www.artrabbit.com/artist-opportunities/2025/september/playground-for-remaking-worlds,Reino Unido,"September 10, 2025",Yes,Univeristy of Cambridge,,,No,"Playground for Remaking Worlds está dirigida a artistas, performers y diseñadores de moda de cualquier nacionalidad, invitando propuestas para intervenciones urbanas, talleres participativos y desfiles especulativos que exploren futuros posibles, en homenaje al pensamiento radical de David Graeber; la convocatoria no menciona ningún pago de inscripción ni estipula honorarios, premios o apoyos económicos para los seleccionados, quienes recibirán visibilidad, oportunidades de colaboración y networking en el evento en Londres; no hay restricciones geográficas, por lo que pueden postular artistas de Latinoamérica, pero es importante notar que no se ofrece apoyo financiero para viaje, producción ni estancia.",,https://www.artrabbit.com/artist-opportunities/2025/september/playground-for-remaking-worlds,Convocatoria,"Otras, Multidisciplinar","August 16, 2025 11:39 PM",,,No,No,,No,,,,
Convocatoria︱Unveiled: Stories Behind The Silence,,Open Call | Unveiled: Stories Behind The Silence | Firepit Art Gallery,Revisar,https://www.artrabbit.com/artist-opportunities/2025/september/open-call-unveiled-stories-behind-the-silence-firepit-art-gallery,Reino Unido,"September 15, 2025",Yes,Firepit Art Gallery,,,No,"La convocatoria Open Call | Unveiled: Stories Behind The Silence | Firepit Art Gallery está dirigida a artistas visuales contemporáneos de cualquier origen que trabajen en medios como pintura, escultura, instalación, fotografía, videoarte y arte digital, interesados en explorar temas de silencio, historias no contadas y narrativas invisibles. No se especifica un pago de inscripción para participar en la oportunidad, ni se detallan montos de compensación económica, premios o apoyos para los artistas seleccionados. Tampoco se menciona restricción geográfica, por lo que la convocatoria está abierta a artistas de Latinoamérica. No se encontró información sobre bases completas o detalles adicionales respecto a honorarios o apoyos económicos.",,https://www.curatorspace.com/opportunities/detail/open-call--unveiled-stories-behind-the-silence--firepit-art-gallery/9687,Convocatoria,"Visuales, Pintura, Escultura","August 16, 2025 11:39 PM",,,No,No,,No,,,,
Beca︱KADIST Paris Curatorial Fellowship,,KADIST Paris Curatorial Fellowship,Revisar,https://www.artrabbit.com/artist-opportunities/2025/september/kadist-paris-curatorial-fellowship,Francia,"September 15, 2025",Yes,KADIST,,,No,"La KADIST Paris Curatorial Fellowship está dirigida a curadores, críticos, escritores, directores artísticos, investigadores y profesionales culturales de cualquier nacionalidad, que sean fluentes en francés e inglés y tengan experiencia interdisciplinaria; no requiere pago de inscripción. La oportunidad abarca disciplinas relacionadas con la curaduría, la investigación artística y la producción cultural, promoviendo cruces entre cine, literatura, danza, filosofía y activismo. El programa, de 18 meses a tiempo parcial desde 2026, otorga un estipendio total de €30,000, alojamiento en París y un presupuesto anual de hasta €15,000 para eventos públicos y €25,000 por exposición. La convocatoria está abierta a postulantes latinoamericanos siempre que cumplan los requisitos de idioma y perfil profesional.",,https://kadist.org/curatorial-fellowship/,Convocatoria,"Otras, Multidisciplinar, Curaduría","August 16, 2025 11:39 PM",,,No,No,,No,,,,
Beca︱Guggenheim Fellowship,,The Guggenheim Fellowship,Revisar,https://www.artrabbit.com/artist-opportunities/2025/september/the-guggenheim-fellowship,EEUU,"September 16, 2025",Yes,Guggenheim,,,No,"La Guggenheim Fellowship está dirigida a artistas, académicos y creadores de cualquier disciplina de las artes, las ciencias sociales, las ciencias naturales y las humanidades, que sean ciudadanos o residentes permanentes de Estados Unidos o Canadá y que cuenten con una trayectoria consolidada y logros notables en su campo; no está abierta a estudiantes ni a personas fuera de estos países, por lo que artistas latinoamericanos solo pueden postular si cumplen con estos requisitos de residencia. La beca no requiere pago de inscripción y los fondos otorgados (alrededor de 175 becas anuales) son de libre uso para los seleccionados, aunque el monto varía según el caso y no se especifica una suma fija; la Fundación aclara que no cubre necesariamente todos los costos del proyecto ni reemplaza un salario completo. Las disciplinas comprendidas abarcan todas las formas de arte y campos académicos, y pueden postular tanto personas afiliadas a instituciones como independientes.",,https://www.gf.org/stories/announcing-the-2025-guggenheim-fellows,Beca,"Otras, Multidisciplinar, Artes","August 16, 2025 11:39 PM",,,No,No,,No,,,,
Convocatoria︱Voice/s in the Museum,,Call for Papers: Voice/s in the Museum,Revisar,https://www.artrabbit.com/artist-opportunities/2025/october/call-for-papers-voices-in-the-museum,Reino Unido,"October 13, 2025",Yes,Tate Museum,,,No,"Call for Papers: Voice/s in the Museum está dirigida a investigadores, académicos, artistas y profesionales de museos interesados en explorar el papel de la voz en contextos museísticos, tanto desde perspectivas teóricas como prácticas. La convocatoria acepta propuestas relacionadas con estudios museológicos, arte contemporáneo, performance, historia del arte, educación, curaduría y disciplinas afines. No se requiere pago de inscripción para participar. No se especifica un monto de dinero destinado a los seleccionados ni se mencionan honorarios para los participantes. La convocatoria está abierta a postulantes internacionales, incluyendo artistas e investigadores de Latinoamérica.",,https://www.tate.org.uk/research/tate-papers/calls-for-papers,Convocatoria,"Otras, Multidisciplinar, Investigación","August 16, 2025 11:39 PM",,,No,No,,No,,,,
Convocatoria︱apexart Curatorial Proposals,,apexart Seeks Curatorial Proposals for Next Season of Exhibitions,Revisar,https://www.artrabbit.com/artist-opportunities/2025/october/apexart-seeks-curatorial-proposals-for-next-season-of-exhibitions,EEUU,"October 31, 2025",Yes,Apexart,,,No,"Dirigida a curadores, artistas, escritores y creativos de cualquier nacionalidad y nivel de experiencia, la oportunidad apexart Seeks Curatorial Proposals for Next Season of Exhibitions invita a enviar propuestas en inglés para exposiciones colectivas basadas en ideas originales, sin requerir pago de inscripción. Se seleccionarán cinco propuestas para realizarse en la sede de apexart en Nueva York durante la temporada 2026–27, cada una con un presupuesto de producción de hasta 10,000 USD, apoyo administrativo y difusión internacional. No exige experiencia previa ni restricciones geográficas, por lo que está abierta a participantes de América Latina.",,https://apexart.org/opencalls.php,Convocatoria,"Visuales, Curaduría","August 16, 2025 11:40 PM",,,No,No,,No,,,,
Convocatoria︱Echoes of Earth,,Echoes of Earth Call for Artists,Revisar,https://www.artrabbit.com/artist-opportunities/2025/august/echoes-of-earth-call-for-artists,India,"August 28, 2025",Yes,Echoes of Earth,,,No,"Convocatoria dirigida a artistas de instalaciones y disciplinas multidisciplinarias cuyas obras estén vinculadas a la naturaleza, la sostenibilidad y la imaginación audaz, abierta internacionalmente sin restricciones geográficas explícitas, por lo que pueden postular artistas de Latinoamérica. Se aceptan propuestas en instalación escultórica y cinética, murales y grafiti, arte interactivo (para público general e infantil), medios luminosos e inmersivos, arte digital, motion y multimedia, e instalaciones sonoras. No se menciona pago de inscripción ni se especifica monto económico o estipendio para los artistas seleccionados; la oportunidad consiste en exhibir obra en el festival Echoes of Earth, reconocido por su enfoque en sostenibilidad y arte. La fecha límite para postular es el 28 de agosto de 2025. Falta información sobre remuneración o apoyos económicos para los participantes.",,https://www.artrabbit.com/artist-opportunities/2025/august/echoes-of-earth-call-for-artists,Convocatoria,"Otras, Instalación, Interactivo","August 16, 2025 11:40 PM",,,No,No,,No,,,,
Residencia︱HOUSE Open Call,,HOUSE Open Call,Revisar,https://www.artrabbit.com/artist-opportunities/2025/august/house-open-call,Reino Unido,"August 30, 2025",Yes,County Hall Pottery,,,No,"HOUSE Open Call está dirigida a artistas visuales emergentes y de media carrera de cualquier nacionalidad, para una residencia de dos meses en Londres durante 2025, enfocada en la experimentación interdisciplinaria y la colaboración. La convocatoria acepta propuestas de diversas disciplinas visuales, instalaciones, sonido, performance y arte digital. Los artistas seleccionados recibirán un estipendio de £3,000 para cubrir gastos personales y de producción, además de alojamiento gratuito y acceso a estudios y apoyo curatorial. No se requiere ningún pago de inscripción para participar. La oportunidad está abierta a artistas internacionales, incluyendo Latinoamérica, siempre que puedan gestionar su visado si es necesario.",,https://www.artrabbit.com/artist-opportunities/2025/august/house-open-call,Residencia,"Visuales, Instalación, Performance","August 16, 2025 11:40 PM",,,No,No,,No,,,,
Residencia︱Pioneer Works 2026 Visual Arts and Music,Spring & Summer 2026 Residencies at Art Omi (https://www.notion.so/Spring-Summer-2026-Residencies-at-Art-Omi-2539dd874b3a81aea0d2c088fe585944?pvs=21),Pioneer Works 2026 Visual Arts and Music Residency Open Call,Revisar,https://www.artrabbit.com/artist-opportunities/2025/august/pioneer-works-2026-visual-arts-and-music-residency-open-call,EEUU,"August 31, 2025",Yes,Pioneer Works,,,No,"La convocatoria Pioneer Works 2026 Visual Arts and Music Residency Open Call está dirigida a artistas visuales y músicos emergentes o de media carrera de cualquier nacionalidad, incluyendo artistas de Latinoamérica, que trabajen de manera profesional y busquen un entorno interdisciplinar y colaborativo; no se aceptan estudiantes ni exalumnos del programa. No se requiere pago de inscripción para participar. Las disciplinas involucradas son artes visuales y música, permitiendo tanto postulaciones individuales como de colectivos (en cuyo caso los recursos se comparten). Los residentes seleccionados reciben estudio gratuito y acceso a instalaciones especializadas; los artistas visuales reciben un honorario de $2,500 dólares y los músicos $1,000 dólares. El programa no cubre alojamiento, viajes ni gestiones de visado para participantes internacionales.",,https://pioneerworks.org/residency,Residencia,"Visuales, ArtesVisuales, Música","August 16, 2025 11:40 PM",,,No,No,,No,,,,
Residencia︱AJUOKSE Micro-Residency Tartu,,"AJUOKSE Micro-Residency in Tartu, Estonia",Revisar,https://www.artrabbit.com/artist-opportunities/2025/august/ajuokse-micro-residency-in-tartu-estonia,Estonia,"August 20, 2025",Yes,AJUOKSE Estonia,,,No,"AJUOKSE Micro-Residency in Tartu, Estonia está dirigida a artistas alternativos de todo el mundo, especialmente aquellos interesados en la experimentación, el espíritu DIY y el humor en el arte, con énfasis en disciplinas como dibujo, pintura, ilustración, arte urbano, cómic y enfoques multidisciplinares; la convocatoria es internacional y abierta a artistas de Latinoamérica. La residencia tiene una duración de dos semanas (6 al 19 de noviembre de 2025) e incluye un apoyo económico de hasta 850 € para los seleccionados, que cubre estipendio, alojamiento privado y materiales; no se menciona ningún pago de inscripción para participar.",,https://www.kettgallery.ee/en/pages/residency-25,Residencia,"Visuales, Dibujo, Pintura","August 16, 2025 11:40 PM",,,No,No,,No,,,,
Residencia︱CO.LABS 2026 Performing Arts,,OPEN CALL: Residency Programs at CO.LABS 2026 – Performing Arts,Revisar,https://www.artrabbit.com/artist-opportunities/2025/august/open-call-residency-programs-at-colabs-2026-performing-arts,Múltiples Países,"August 24, 2025",Yes,CO.LABS,,,No,"OPEN CALL: Residency Programs at CO.LABS 2026 – Performing Arts está dirigida a artistas y colectivos de artes escénicas (teatro, danza, performance y disciplinas afines) interesados en desarrollar proyectos innovadores durante una residencia en 2026; la convocatoria acepta postulaciones internacionales, incluyendo artistas de Latinoamérica. No se requiere pago de inscripción para participar. La oportunidad contempla un estipendio de 2.000 EUR para cada artista o colectivo seleccionado, además de alojamiento y espacio de trabajo durante la residencia. La convocatoria fomenta la colaboración interdisciplinaria y la presentación pública de los procesos y resultados, y no restringe la postulación por nacionalidad ni residencia, permitiendo la participación de creadores de cualquier país.",,https://www.artrabbit.com/artist-opportunities/2025/august/open-call-residency-programs-at-colabs-2026-performing-arts,Residencia,"Escénicas, Teatro, Danza","August 16, 2025 11:40 PM",,,No,No,,No,,,,
Convocatoria︱Design 2025 LCB Depot,,Design 2025 – Call for Designers at LCB Depot,Revisar,https://www.artrabbit.com/artist-opportunities/2025/august/design-2025-call-for-designers-at-lcb-depot,Reino Unido,"August 31, 2025",Yes,LCB Depot,,,No,"Design 2025 – Call for Designers at LCB Depot está dirigida a arquitectos, diseñadores gráficos, diseñadores digitales y creativos de todas las áreas del diseño, tanto establecidos como emergentes, interesados en exhibir su trabajo y participar en el programa anual de diseño de LCB Depot en Leicester. La convocatoria incluye disciplinas como arquitectura, diseño gráfico, diseño digital y diseño de productos, bajo el tema “Home”, y ofrece la posibilidad de mostrar obras, organizar eventos y conectar con la comunidad internacional de diseño. No se especifica un pago por inscripción ni se menciona un monto económico destinado a los artistas seleccionados; los beneficios consisten principalmente en visibilidad, promoción en redes sociales y apoyo en ventas durante la exhibición. La oportunidad está abierta a participantes internacionales y no restringe la postulación de artistas de Latinoamérica.",,https://lcbdepot.co.uk/event/design2025/,Convocatoria,"Diseño, Gráfico, Digital","August 16, 2025 11:40 PM",,,No,No,,No,,,,
Convocatoria︱Castlefield Gallery Associates Exhibition,,Castlefield Gallery Associates Exhibition,Revisar,https://www.artrabbit.com/artist-opportunities/2025/september/castlefield-gallery-associates-exhibition,Reino Unido,"September 2, 2025",Yes,Castlefield Gallery,,,No,"Dirigida exclusivamente a miembros activos de Castlefield Gallery Associates, esta convocatoria seleccionará una propuesta expositiva para integrar el programa oficial 2025/26 de la galería, bajo la curaduría de Cindy Sissokho. No se menciona pago de inscripción, pero es imprescindible ser miembro (lo cual podría requerir una cuota anual). La oportunidad está orientada a artistas y creativos contemporáneos sin restricción de disciplina específica, siempre que sean asociados, y ofrece un presupuesto de hasta £2,000 para honorarios y producción, además de apoyo curatorial y técnico. No se especifican restricciones geográficas adicionales, pero la membresía y la falta de información explícita sobre elegibilidad internacional sugieren que artistas de Latinoamérica solo podrán participar si se asocian previamente y cumplen los requisitos de membresía.",,https://www.castlefieldgallery.co.uk/open-call-castlefield-gallery-associates-exhibition-with-guest-selector-curator-cindy-sissokho/,Convocatoria,"Visuales, Arte contemporáneo","August 16, 2025 11:40 PM",,,No,No,,No,,,,
Residencia︱Bresler Resident Artists,,Bresler Resident Artists + Montgomery College Collaborative AiR,Revisar,https://www.artrabbit.com/artist-opportunities/2025/september/bresler-resident-artists-montgomery-college-collaborative-air,EEUU,"September 5, 2025",Yes,VisArts,,,No,"Dirigida a artistas profesionales individuales o colectivos mayores de 18 años, de cualquier nacionalidad, que trabajen en todas las disciplinas de artes visuales y estén interesados en colaborar con estudiantes universitarios; no se permite el uso de materiales peligrosos ni está destinada a artistas comerciales o estudiantes de pregrado. La residencia otorga un estudio gratuito por cuatro meses en VisArts (Rockville, MD), un estipendio de $2,000 USD y una exhibición individual; además, quienes participen en la modalidad colaborativa con Montgomery College reciben un estipendio adicional de $3,000 USD por tres semanas de trabajo conjunto con estudiantes y hasta $1,000 USD para materiales, sin incluir alojamiento ni viaje. No se requiere ningún pago de inscripción para postular. La convocatoria está abierta internacionalmente, por lo que pueden aplicar artistas de Latinoamérica.",,https://www.visartscenter.org/artists/fleur-charles-bresler-residency-program/,Residencia,"Visuales, ArtesVisuales, Colaborativo","August 16, 2025 11:40 PM",,,No,No,,No,,,,
Convocatoria︱Goldrausch Künstlerinnenprojekt,Programa de Apoyo a las Orquestas Profesionales Doctas y Populares 2026 (https://www.notion.so/Programa-de-Apoyo-a-las-Orquestas-Profesionales-Doctas-y-Populares-2026-23d9dd874b3a81f3ae9fcbf3fe3c87cf?pvs=21),Goldrausch Künstlerinnenprojekt 2026 – Professional Development,Revisar,https://www.artrabbit.com/artist-opportunities/2025/september/goldrausch-kuenstlerinnenprojekt-2026-professional-development,Alemania,"September 15, 2025",Yes,HFBK Hamburg,,,No,"Dirigida a artistas visuales FLINTA (mujeres, lesbianas, intersex, no binarias, trans y agénero) de cualquier edad y disciplina, con preferencia por quienes cuenten con título en bellas artes o experiencia equivalente y que residan en Berlín; es requisito tener conocimientos suficientes de alemán e inglés para seguir las discusiones. El Goldrausch Künstlerinnenprojekt 2026 – Professional Development es un programa anual de formación profesional (enero-diciembre de 2026), completamente financiado por fondos europeos y estatales (sin pago de inscripción ni matrícula) que ofrece formación práctica, desarrollo de habilidades de presentación, orientación sobre autoempleo, contactos con la escena local y una exposición grupal final; no hay estipendio ni monto económico directo para las participantes. La oportunidad no está abierta a artistas que no residan en Berlín, por lo que no pueden postular artistas de Latinoamérica a menos que ya vivan en esa ciudad.",,https://hfbk-hamburg.de/en/aktuelles/ausschreibungen/20250915-open-call-f%C3%BCr-2026-goldrausch-k%C3%BCnstlerinnenprojekt/,Oportunidad,"Visuales, ArtesPlásticas","August 16, 2025 11:41 PM",,,No,No,,No,,,,
Residencia︱Curatorial Fellowship HBK Braunschweig,,Curatorial Fellowship and Residency 2026/2027 at HBK Braunschweig,Revisar,https://www.hbk-bs.de/hochschule/stipendienprogramme/braunschweig-projects-curator-fellowship-english/call-2025-2026-1/,Alemania,"August 17, 2025",Yes,HBK Braunschweig,,,No,"Dirigida a curadores con al menos tres años de experiencia profesional, sin restricción de nacionalidad, interesados en desarrollar un proyecto curatorial vinculado a una institución cultural, museo o colección, preferentemente en colaboración con la comunidad académica y artística de la HBK Braunschweig. No se requiere pago alguno para postular. La oportunidad cubre exclusivamente el ámbito curatorial (no para artistas visuales, músicos, etc.) y otorga una beca de 1.400 euros mensuales durante 12 meses, además de acceso a un espacio de trabajo totalmente equipado y la expectativa de presencia física en la universidad al menos una semana al mes. La convocatoria está abierta a postulantes de Latinoamérica que cumplan con los requisitos de experiencia y documentación.",,https://www.hbk-bs.de/hochschule/stipendienprogramme/braunschweig-projects-curator-fellowship-english/call-2025-2026-1/,Convocatoria,"Visuales, Curaduría","August 16, 2025 11:44 PM",,,No,No,,No,,,,
